date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:48:03	17976/17976	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2007:29:00%20GMT	https://gmail.miraeinvast.com/mineround/webmail.htm?email=apapppaap@gmail.com&_task=mail&_mbox=INBOX	C:/My%20Web%20Sites/mette/gmail.miraeinvast.com/mineround/webmaile387.html	(from )
05:48:04	467/467	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202024%2004:48:05%20GMT	https://gmail.miraeinvast.com/robots.txt		(from )
05:48:06	6358/6358	---M--	200	added ('OK')	text/css	date:Wed,%2030%20Mar%202022%2003:16:35%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css	C:/My%20Web%20Sites/mette/webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css	(from https://gmail.miraeinvast.com/mineround/webmail.htm?email=apapppaap@gmail.com&_task=mail&_mbox=INBOX)
05:48:09	127/127	---M--	308	error ('Moved')	text/html	date:Tue,%2003%20Dec%202024%2004:48:08%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1533566265/unprotected/cpanel/images/notice-error.png	C:/My%20Web%20Sites/mette/webmail.gigared.com/cPanel_magic_revision_1533566265/unprotected/cpanel/images/notice-error.3.delayed	(from https://gmail.miraeinvast.com/mineround/webmail.htm?email=apapppaap@gmail.com&_task=mail&_mbox=INBOX)
05:48:09	1026/1026	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jan%202021%2022:13:56%20GMT	https://webmail.gigared.com/unprotected/cpanel/images/notice-error.png	C:/My%20Web%20Sites/mette/webmail.gigared.com/unprotected/cpanel/images/notice-error.png	(from https://gmail.miraeinvast.com/mineround/webmail.htm?email=apapppaap@gmail.com&_task=mail&_mbox=INBOX)
05:48:10	144905/144905	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Mar%202023%2003:38:38%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1591239677/unprotected/cpanel/style_v2_optimized.css	C:/My%20Web%20Sites/mette/webmail.gigared.com/cPanel_magic_revision_1591239677/unprotected/cpanel/style_v2_optimized.css	(from https://gmail.miraeinvast.com/mineround/webmail.htm?email=apapppaap@gmail.com&_task=mail&_mbox=INBOX)
05:48:10	239/239	---M--	404	error ('Not%20Found')	application/xml	date:Tue,%2003%20Dec%202024%2004:48:11%20GMT	https://fra1.digitaloceanspaces.com/round-cube/jquery.min.js	C:/My%20Web%20Sites/mette/fra1.digitaloceanspaces.com/round-cube/jquery.min.5.delayed	(from https://gmail.miraeinvast.com/mineround/webmail.htm?email=apapppaap@gmail.com&_task=mail&_mbox=INBOX)
05:48:11	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/My%20Web%20Sites/mette/code.jquery.com/jquery-3.5.1.min.js	(from https://gmail.miraeinvast.com/mineround/webmail.htm?email=apapppaap@gmail.com&_task=mail&_mbox=INBOX)
05:48:15	121112/121112	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Mar%202022%2003:16:35%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-BoldItalic-webfont.svg	C:/My%20Web%20Sites/mette/webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-BoldItalic-webfont.svg	(from https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css)
05:48:15	118259/118259	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Mar%202022%2003:16:35%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-Bold-webfont.svg	C:/My%20Web%20Sites/mette/webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-Bold-webfont.svg	(from https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css)
